id,handlungsspielraum,unterstuetzung,ueberstunden,zufriedenheit
1,5.4,5.5,2,5.67
2,5.0,4.25,5,4.33
3,4.6,4.0,7,4.5
4,3.0,3.0,6,5.0
5,4.0,5.75,3,3.33
6,6.2,5.25,2,5.33
7,5.2,5.0,6,4.33
8,3.8,4.75,7,4.67
9,3.4,4.25,0,3.83
10,4.6,4.0,5,5.33
11,4.2,6.25,0,5.0
12,2.6,4.25,6,3.0
13,7.0,6.25,0,5.5
14,1.4,4.0,3,3.33
15,5.4,5.5,6,4.5
16,6.6,7.0,8,4.83
17,4.8,4.75,10,6.33
18,5.6,4.75,4,4.5
19,3.4,3.75,7,3.5
20,3.0,3.5,5,3.17
21,3.8,3.75,8,5.0
22,3.2,5.25,7,4.33
23,6.8,7.0,3,5.83
24,2.6,3.75,7,3.0
25,4.0,5.5,3,6.0
26,6.6,3.75,4,4.83
27,3.6,5.25,8,2.83
28,3.8,4.5,6,4.67
29,4.4,6.0,6,3.67
30,6.4,4.75,0,6.83
31,5.8,4.75,3,6.5
32,3.4,5.5,9,4.5
33,4.6,4.75,0,4.67
34,5.6,5.25,4,5.0
35,5.4,5.75,4,5.33
36,5.0,4.0,11,4.83
37,6.0,7.0,5,5.5
38,4.2,5.0,7,5.17
39,4.4,5.0,4,5.5
40,5.4,5.25,2,4.17
41,3.2,4.5,10,4.5
42,2.4,2.75,8,2.67
43,5.2,6.25,3,6.33
44,4.0,5.25,8,5.83
45,5.6,3.25,6,5.17
46,5.4,3.0,7,5.67
47,4.6,6.25,0,4.5
48,3.8,5.5,5,5.67
49,6.6,5.75,0,5.67
50,4.8,4.5,0,5.5
51,6.4,7.0,3,5.5
52,5.0,5.25,2,5.83
53,4.2,3.0,1,4.5
54,4.2,5.5,4,6.67
55,2.2,4.0,13,3.33
56,4.8,4.5,0,4.67
57,4.2,4.5,1,4.67
58,6.0,5.0,7,5.0
59,4.8,4.0,3,5.0
60,5.4,4.5,5,5.67
61,5.2,3.5,6,5.5
62,4.4,5.25,11,5.5
63,2.6,4.5,9,2.5
